brand,model,model_year,milage,fuel_type,ext_col,int_col,accident,clean_title,price,horsepower,displacement,cylinders,turbo,transmission_type,gears,sales_price_log
Chevrolet,Suburban LT,2019,72000,Gasoline,Blue,Beige,At least 1 accident or damage reported,Yes,39000,355.0,5.3,8.0,False,Automatic,,4.5910646070264995
Porsche,718 Spyder Base,2020,3400,Gasoline,White,Black,None reported,Yes,129900,414.0,4.0,6.0,False,Manual,6.0,5.113609151073028
Chevrolet,Camaro 1LT,2021,18000,Gasoline,White,Black,At least 1 accident or damage reported,Yes,30000,335.0,3.6,6.0,False,Automatic,10.0,4.477121254719663
Jeep,Gladiator Freedom,2021,30630,Gasoline,Hydro Blue Pearlcoat,Black,None reported,,39998,,3.6,,False,Automatic,,4.602038276060981
Toyota,Tacoma Double Cab,2007,24985,Gasoline,Silver,Silver,,,33580,236.0,4.0,6.0,False,Automatic,5.0,4.52608069180203
GMC,Yukon Denali Ultimate,2023,9978,Gasoline,White,Gold,None reported,Yes,93999,420.0,6.2,8.0,False,Automatic,10.0,4.97312323342106
Ford,Shelby GT350R Base,2018,18500,Gasoline,Blue,Black,At least 1 accident or damage reported,Yes,77999,526.0,5.2,8.0,False,Manual,,4.892089034776816
Cadillac,Escalade Premium Luxury Platinum,2021,72843,Gasoline,Sandstone Metallic,Dark Auburn,None reported,Yes,79990,,6.2,8.0,False,Automatic,10.0,4.903035696788497
Buick,LaCrosse Base,2017,67500,Gasoline,Black,Beige,None reported,Yes,20000,310.0,3.6,6.0,False,Automatic,8.0,4.301029995663981
Tesla,Model X Long Range Plus,2020,43534,,Black,Black,None reported,Yes,65990,534.0,,,False,Automatic,1.0,4.819478128362123
Mercedes-Benz,E-Class E 300 4MATIC,2017,36900,Gasoline,Gray,Beige,None reported,Yes,28500,241.0,2.0,4.0,False,Automatic,9.0,4.45484486000851
Chevrolet,Tahoe LT,2017,61720,E85 Flex Fuel,Silver,Jet Black,At least 1 accident or damage reported,,39998,,5.3,,False,Automatic,,4.602038276060981
Kia,Telluride EX,2022,35938,Gasoline,Glacial White Pearl,Black,None reported,,43329,,3.8,6.0,False,Automatic,8.0,4.636778665967367
Toyota,Tundra Hybrid Limited,2023,10748,Hybrid,Midnight Black Metallic,Black,None reported,,63100,,3.4,6.0,True,Automatic,,4.800029359244134
Audi,S8 4.0T quattro,2023,4457,Gasoline,Mythos Black Metallic,Black,None reported,,107900,,4.0,8.0,True,Automatic,,5.033021444682911
Nissan,Armada Platinum,2018,108206,Gasoline,White,Charcoal,At least 1 accident or damage reported,,26498,,5.6,,False,Automatic,,4.423213095757849
Land,Rover Discovery HSE,2020,32705,Diesel,Portofino Blue Metallic,Tan/Ebony/Ebony,None reported,,46598,,3.0,,False,Automatic,,4.668367277041854
Kia,Telluride S,2020,74026,Gasoline,Sangria Red,Black,None reported,,32913,,3.8,6.0,False,Automatic,8.0,4.517367469777369
Lexus,GS 350 F Sport,2020,24651,Gasoline,Ultra White,Black,None reported,,45950,,3.5,6.0,False,Automatic,6.0,4.66228551572213
BMW,X6 xDrive40i,2022,13000,Hybrid,Gray,Orange,None reported,Yes,69000,335.0,3.0,6.0,False,,,4.838849090737256
Land,Rover Range Rover P400 SE SWB,2023,11700,Hybrid,Gray,White,None reported,Yes,133500,395.0,3.0,6.0,False,,,5.125481265700594
Chevrolet,Silverado 3500 High Country,2015,77500,Diesel,Black,Brown,None reported,Yes,54000,397.0,6.6,8.0,False,Automatic,6.0,4.732393759822968
Maserati,Quattroporte Sport GT,2007,82000,Gasoline,Black,Black,At least 1 accident or damage reported,Yes,7999,394.0,4.2,8.0,False,,,3.903035696788497
Dodge,Viper GTC,2017,1389,Gasoline,Black,Black,None reported,Yes,489995,645.0,8.4,10.0,False,Manual,,5.690191648429558
Ford,Expedition Limited,2021,29830,Gasoline,Magnetic Metallic,Ebony,None reported,,55329,,3.5,6.0,True,Automatic,10.0,4.742952820974923
Mazda,Mazda6 i Grand Touring,2016,83100,,White,White,None reported,Yes,17800,,,,False,Automatic,,4.250420002308894
Kia,Optima LX,2019,62660,Gasoline,White,Black,None reported,Yes,16500,185.0,2.4,4.0,False,Automatic,,4.217483944213907
Land,Rover Range Rover Sport SVR,2018,56006,Gasoline,Silver,White,None reported,Yes,59000,575.0,5.0,8.0,False,,,4.770852011642144
Lexus,RX 450h F SPORT Handling,2021,31365,Hybrid,Beige,Red,None reported,,52998,,3.5,,False,,,4.72425948082055
Lincoln,Town Car Base,2004,27600,Gasoline,Black,White,None reported,Yes,14900,239.0,4.6,8.0,False,Automatic,4.0,4.173186268412274
Honda,Civic Si,2012,47245,Gasoline,White,Black,None reported,Yes,19600,201.0,2.4,4.0,False,Manual,6.0,4.292256071356476
Lexus,RX 450h Base,2017,73948,Hybrid,White,Beige,None reported,Yes,31990,308.0,3.5,6.0,False,Automatic,,4.505014240084107
RAM,1500 Classic Warlock,2019,36757,E85 Flex Fuel,Diamond Black,Diesel Gray / Black,None reported,Yes,31953,,3.6,6.0,False,Automatic,8.0,4.504511639404631
Tesla,Model Y Long Range,2023,4786,,White,White,None reported,Yes,48000,425.0,,,False,Automatic,,4.681241237375588
Audi,RS 3 2.5T,2023,1900,Gasoline,Gray,Black,None reported,Yes,78900,401.0,2.5,5.0,False,,,4.897077003209421
Hyundai,Genesis Coupe 3.8 R-Spec,2014,52060,Gasoline,Black,Black,At least 1 accident or damage reported,Yes,15000,348.0,3.8,6.0,False,Manual,6.0,4.176091259055681
Porsche,Boxster RS 60 Spyder,2008,58000,Gasoline,Silver,Black,None reported,Yes,41500,303.0,3.4,6.0,False,Manual,6.0,4.6180480967120925
Ford,F-250 XLT,2010,52246,Diesel,Tan,Medium Stone,None reported,Yes,26095,,6.4,8.0,True,Manual,6.0,4.416557301191479
Kia,Sorento EX,2016,64290,Gasoline,Snow White Pearl,Satin Black,None reported,,16999,,2.0,4.0,True,Automatic,6.0,4.2304233738926404
Nissan,370Z Touring,2009,37500,Gasoline,Silver,Orange,None reported,Yes,21500,332.0,3.7,6.0,False,Manual,6.0,4.332438459915605
Genesis,G70 2.0T,2023,2121,Gasoline,White,Red,None reported,Yes,40750,252.0,2.0,4.0,False,Automatic,8.0,4.610127613075996
Land,Rover Range Rover Sport Supercharged,2013,57000,Gasoline,White,Beige,None reported,Yes,26000,510.0,5.0,8.0,False,,,4.414973347970818
Mercedes-Benz,S-Class S 560 4MATIC,2020,22000,Gasoline,White,Beige,None reported,Yes,69500,463.0,4.0,8.0,False,Automatic,,4.841984804590114
Ford,Bronco Wildtrak Advanced,2023,2000,Gasoline,Black,Black,None reported,Yes,66500,315.0,2.7,6.0,False,Automatic,,4.8228216453031045
RAM,1500 SLT,2018,61802,E85 Flex Fuel,Black,Gray,None reported,Yes,32000,305.0,3.6,6.0,False,Automatic,8.0,4.505149978319906
Dodge,Challenger R/T,2010,73000,,Black,Black,None reported,Yes,17500,,,,False,Automatic,,4.243038048686294
Chevrolet,Sonic LT,2013,110000,,Gray,Black,None reported,Yes,7500,,,,False,Automatic,,3.8750612633917
Jeep,Grand Cherokee Laredo,2013,106700,E85 Flex Fuel,Black,Black,None reported,Yes,13500,290.0,3.6,6.0,False,Automatic,6.0,4.1303337684950066
Audi,RS 5 4.2,2013,75965,Gasoline,White,Black,At least 1 accident or damage reported,Yes,35999,450.0,4.2,8.0,False,Automatic,7.0,4.556290436864124
Jeep,Grand Cherokee L Overland,2022,31804,Gasoline,Silver Zynith,Global Black,At least 1 accident or damage reported,Yes,48995,,3.6,6.0,False,Automatic,,4.690151762003892
Mazda,MX-5 Miata Base,1992,125800,,Red,Black,None reported,Yes,11500,,,,False,Manual,5.0,4.060697840353612
Chrysler,Crossfire Limited,2005,116320,Gasoline,Gray,Red,At least 1 accident or damage reported,Yes,6000,215.0,3.2,6.0,False,Automatic,5.0,3.778151250383644
Audi,S5 4.2 Premium Plus,2011,156875,Gasoline,Black,Red,At least 1 accident or damage reported,Yes,9900,354.0,4.2,8.0,False,Manual,6.0,3.9956351945975497
Tesla,Model X Base,2023,197,,Blue,Black,None reported,Yes,85000,670.0,,,False,Automatic,,4.929418925714293
Cadillac,CT4 Luxury,2020,35200,Gasoline,Blue,Black,None reported,Yes,28500,237.0,2.0,4.0,False,Automatic,8.0,4.45484486000851
Maserati,Ghibli S Q4,2014,76000,Gasoline,Black,Black,None reported,Yes,19000,404.0,3.0,6.0,False,Automatic,,4.278753600952829
Jaguar,F-PACE 25t Premium,2019,29000,Gasoline,White,Black,None reported,Yes,34500,247.0,2.0,4.0,False,Automatic,,4.537819095073274
BMW,750 i xDrive,2019,33499,Gasoline,Gray,Black,At least 1 accident or damage reported,Yes,44495,445.0,4.4,8.0,False,Automatic,,4.648311211106516
Acura,TLX V6 Advance,2019,25779,Gasoline,Platinum White Pearl,Ebony,At least 1 accident or damage reported,,30999,,3.5,6.0,False,Automatic,9.0,4.4913476841088915
GMC,Terrain SLT-1,2015,76296,Gasoline,Gray,Black,At least 1 accident or damage reported,Yes,9500,182.0,2.4,4.0,False,Automatic,6.0,3.9777236052888476
BMW,i3 Base w/Range Extender,2014,29553,,Black,Gray,None reported,Yes,12800,170.0,0.65,,False,Automatic,1.0,4.107209969647869
Nissan,Versa 1.8 S,2011,109902,Gasoline,Blue,Gray,None reported,Yes,4500,122.0,1.8,4.0,False,Automatic,,3.6532125137753435
Mercedes-Benz,C-Class C 300 4MATIC,2019,23083,Gasoline,White,Beige,None reported,Yes,33500,255.0,2.0,4.0,False,Automatic,9.0,4.525044807036846
Toyota,Matrix XRS,2003,143600,Gasoline,Black,Black,None reported,Yes,4199,180.0,1.8,4.0,False,Manual,6.0,3.6231458746379395
RAM,1500 Limited,2021,22000,Gasoline,Black,Black,None reported,Yes,54800,395.0,5.7,8.0,False,Automatic,8.0,4.738780558484369
Mercedes-Benz,AMG E 53 Base 4MATIC,2022,13000,Hybrid,Silver,Black,None reported,Yes,81500,429.0,3.0,6.0,False,Automatic,9.0,4.911157608739977
Audi,A5 2.0T Premium,2018,53000,Gasoline,White,Brown,At least 1 accident or damage reported,Yes,28000,252.0,2.0,4.0,False,Automatic,,4.447158031342219
Lincoln,Navigator Reserve,2019,44741,Gasoline,Beige,Beige,None reported,Yes,52999,450.0,3.5,6.0,False,Automatic,10.0,4.724267675287976
Audi,A6 3.2 quattro,2008,202000,Gasoline,Blue,Gray,At least 1 accident or damage reported,Yes,5700,255.0,3.2,6.0,False,Automatic,,3.7558748556724915
Chevrolet,Silverado 1500 LT Crew Cab,2006,215000,Gasoline,Black,Black,At least 1 accident or damage reported,Yes,6995,345.0,6.0,8.0,False,Automatic,,3.8447877188278463
Mercedes-Benz,S-Class S 560,2019,77138,Gasoline,designo Diamond White,Black,None reported,,49998,,4.0,,False,Automatic,,4.698952632209298
Volvo,XC90 T6 Momentum,2018,90641,Gasoline,White,Amber,None reported,,25999,,2.0,4.0,False,Automatic,8.0,4.414956644015667
Toyota,Camry SE,2011,177702,Gasoline,Gray,Gray,At least 1 accident or damage reported,Yes,7700,179.0,2.5,4.0,False,Automatic,,3.886490725172482
Mercedes-Benz,Metris Base,2018,58350,Gasoline,Black,Black,None reported,Yes,29497,208.0,2.0,4.0,False,Automatic,7.0,4.4697778481917725
Chevrolet,Camaro 2LT,2010,86170,Gasoline,Black,Black,At least 1 accident or damage reported,Yes,17000,304.0,3.6,6.0,False,Automatic,6.0,4.230448921378274
Mazda,MX-5 Miata Grand Touring,2012,36568,Gasoline,Blue,Beige,At least 1 accident or damage reported,Yes,20199,167.0,2.0,4.0,False,Manual,6.0,4.305329869187608
Ford,Escape SE,2015,54357,Gasoline,White,Gray,None reported,Yes,16250,173.0,1.6,4.0,False,Automatic,6.0,4.210853365314893
Mercedes-Benz,S-Class S 63 AMG,2015,20394,Gasoline,Black,Black,At least 1 accident or damage reported,,59598,,5.5,,False,Automatic,,4.775231685855374
Kia,Niro EX,2023,7578,Hybrid,Snow White Pearl,Charcoal,None reported,,31113,,1.6,4.0,False,Automatic,,4.492941888981732
Porsche,Boxster Base,2010,64800,Gasoline,Gray,Gray,At least 1 accident or damage reported,Yes,20900,255.0,2.9,6.0,False,Manual,6.0,4.320146286111054
Toyota,4Runner Trail,2016,117780,Gasoline,Gray,Black,None reported,Yes,27750,270.0,4.0,6.0,False,Automatic,5.0,4.443262987458695
Hyundai,Kona EV SEL,2019,33100,,Black,Black,None reported,Yes,18200,201.0,,,False,Automatic,1.0,4.260071387985075
Land,Rover Range Rover Evoque SE,2016,86202,Gasoline,Black,Black,None reported,Yes,18750,240.0,2.0,4.0,False,Automatic,9.0,4.273001272063738
Ford,E350 Super Duty XLT,2012,163000,E85 Flex Fuel,White,Gray,None reported,Yes,19550,255.0,5.4,8.0,False,Automatic,,4.291146761731886
Mercedes-Benz,SL-Class SL500 Roadster,2004,35400,Gasoline,Black,Gray,None reported,Yes,24900,302.0,5.0,8.0,False,Automatic,7.0,4.396199347095736
Jeep,Compass Trailhawk,2018,31000,Gasoline,Gray,Black,None reported,Yes,22000,180.0,2.4,4.0,False,Automatic,9.0,4.342422680822207
Mercedes-Benz,S-Class S 560 4MATIC,2018,103069,Gasoline,Anthracite Blue Metallic,Silk Beige/Espresso Brown,None reported,,40998,,4.0,,False,Automatic,,4.6127626711063305
Mercedes-Benz,G-Class G 550 4MATIC,2021,22480,Gasoline,White,Brown,None reported,Yes,135800,416.0,4.0,8.0,False,Automatic,,5.1328997699444825
Tesla,Model X P90D,2016,91000,,Silver,White,None reported,Yes,39500,691.0,,,False,Automatic,,4.596597095626461
Lexus,IS-F Base,2010,41500,Gasoline,Blue,Black,At least 1 accident or damage reported,Yes,44800,416.0,5.0,8.0,False,Automatic,8.0,4.6512780139981444
BMW,335 i,2010,91545,Gasoline,Black,Black,None reported,Yes,13000,300.0,3.0,6.0,False,Automatic,6.0,4.113943352306837
Audi,RS 7 4.0T,2022,4100,Hybrid,Blue,Black,None reported,Yes,162500,591.0,4.0,8.0,False,Automatic,8.0,5.210853365314893
Buick,Lucerne CXL,2006,110000,Gasoline,Gold,Beige,None reported,Yes,5000,275.0,4.6,8.0,False,Automatic,,3.6989700043360187
Lincoln,MKX Reserve,2016,88000,Gasoline,Black,Black,None reported,Yes,18500,335.0,2.7,6.0,False,,,4.267171728403014
Nissan,Armada Platinum,2018,42833,Gasoline,Blue,Gray,None reported,Yes,37000,390.0,5.6,8.0,False,,,4.568201724066995
Porsche,911 Carrera,2020,23278,Gasoline,Blue,–,None reported,,114998,,3.0,,False,Automatic,,5.060690287340422
Mercedes-Benz,E-Class 400E,1993,106983,,White,Gray,None reported,Yes,15300,,,,False,Automatic,4.0,4.184691430817598
BMW,435 Gran Coupe i,2015,60100,Gasoline,Blue,Beige,None reported,Yes,24995,300.0,3.0,6.0,False,Automatic,8.0,4.397853141088609
Jeep,Wagoneer Series III,2022,17381,Gasoline,Velvet Red Pearlcoat,Global Black,None reported,Yes,69685,,5.7,8.0,False,Automatic,8.0,4.843139304377686
Cadillac,ATS 2.5L,2013,63172,Gasoline,Black,Black,At least 1 accident or damage reported,Yes,12995,202.0,2.5,4.0,False,Automatic,,4.113776283837032
Ford,Transit Connect XLT,2010,72000,Gasoline,White,Gray,At least 1 accident or damage reported,Yes,10900,136.0,2.0,4.0,False,Automatic,,4.037426497940624
Kia,EV6 GT-Line,2022,4820,,Red,Black,None reported,Yes,47500,320.0,,,False,Automatic,1.0,4.676693609624866
Audi,S5 3.0T Premium Plus,2014,67900,Gasoline,Silver,Black,,,25990,333.0,3.0,6.0,False,Manual,6.0,4.414806279501013
Toyota,Tundra SR,2018,51000,Gasoline,Black,Gray,None reported,Yes,38000,381.0,5.7,8.0,False,Automatic,,4.57978359661681
Jeep,Wrangler Unlimited Freedom Edition,2013,54500,Gasoline,Green,Black,None reported,Yes,35000,285.0,3.6,6.0,False,Automatic,,4.544068044350276
Maserati,Quattroporte Base,2006,61840,Gasoline,Gray,Beige,None reported,Yes,16500,394.0,4.2,8.0,False,,,4.217483944213907
Mercedes-Benz,CLS-Class CLS500,2006,28950,Gasoline,Blue,Beige,,,16750,302.0,5.0,8.0,False,Automatic,7.0,4.224014811372864
GMC,Sierra 3500 SLE,2002,300000,Diesel,Black,Gray,At least 1 accident or damage reported,Yes,5000,300.0,6.6,8.0,False,Automatic,5.0,3.6989700043360187
Nissan,Frontier SL,2011,103400,Gasoline,Gray,Gray,At least 1 accident or damage reported,Yes,17000,261.0,4.0,6.0,False,Automatic,5.0,4.230448921378274
BMW,M5 Base,2023,816,Gasoline,Alpine White,Black,None reported,,109900,,4.4,8.0,True,Automatic,8.0,5.040997692423491
Porsche,911 R,2016,719,Gasoline,White,Black / Brown,None reported,Yes,489000,,4.0,,False,Manual,6.0,5.689308859123621
Land,Rover Defender X-Dynamic SE,2023,3678,Hybrid,Fuji White,Black,None reported,,81998,,3.0,,False,Automatic,,4.9138032597061985
Ford,F-150 XL,2016,107000,E85 Flex Fuel,White,Gray,At least 1 accident or damage reported,Yes,22000,385.0,5.0,8.0,False,Automatic,6.0,4.342422680822207
BMW,M8 Competition,2022,5018,Gasoline,–,Sakhir Orange/Black,None reported,,114998,,4.4,,True,Automatic,,5.060690287340422
Porsche,911 Carrera S,2010,13850,Gasoline,Black,Black,None reported,Yes,71400,385.0,3.8,6.0,False,Manual,6.0,4.853698211776174
Volvo,XC70 3.2,2008,46700,Gasoline,White,Beige,,,11400,235.0,3.2,6.0,False,Automatic,6.0,4.056904851336473
Chrysler,300 Touring,2021,21478,Gasoline,Silver Mist,Black,None reported,,27798,,3.6,,False,Automatic,,4.444013550586799
Honda,Insight EX,2020,64200,Hybrid,White,Black,At least 1 accident or damage reported,Yes,20499,151.0,1.5,4.0,False,,,4.311732675442349
Porsche,Cayman S,2006,31075,Gasoline,Black,Black / Stone Grey,None reported,Yes,36250,,3.4,,False,Automatic,5.0,4.559308010907013
Tesla,Model Y Performance,2022,25250,,White,White,None reported,Yes,47800,455.0,,,False,Automatic,1.0,4.679427896612119
BMW,M5 Competition,2020,35400,Gasoline,Orange,Black,None reported,Yes,71950,617.0,4.4,8.0,False,Automatic,8.0,4.857030798272624
Audi,S4 4.2 quattro,2004,74030,Gasoline,Silver,Gray,None reported,Yes,16000,340.0,4.2,8.0,False,Manual,6.0,4.204119982655925
Ford,F-250 Platinum,2021,48549,Diesel,Antimatter Blue Metallic,Black,None reported,,69998,,6.7,8.0,True,Automatic,,4.845085631423221
Kia,Seltos S,2023,5182,Gasoline,White,Black,None reported,Yes,32500,146.0,2.0,4.0,False,Automatic,,4.511883360978874
RAM,ProMaster 2500 High Roof,2019,31681,Gasoline,White,Black,At least 1 accident or damage reported,Yes,33500,280.0,3.6,6.0,False,Automatic,,4.525044807036846
BMW,M760 M760i xDrive,2020,23430,Gasoline,White,Black,None reported,,80998,,6.6,,True,Automatic,,4.90847429542572
Mercedes-Benz,E-Class E 400,2015,30300,Gasoline,White,Black,At least 1 accident or damage reported,Yes,29000,329.0,3.0,6.0,False,Automatic,,4.462397997898956
Cadillac,XTS Luxury,2016,112000,Gasoline,Blue,Beige,At least 1 accident or damage reported,Yes,14599,304.0,3.6,6.0,False,Automatic,,4.164323108568294
INFINITI,Q50 Premium,2014,127356,Gasoline,Black,Black,At least 1 accident or damage reported,Yes,19990,328.0,3.7,6.0,False,Automatic,7.0,4.300812794118117
Volkswagen,Touareg V6 Executive,2017,50600,Gasoline,Red,Brown,At least 1 accident or damage reported,Yes,28890,280.0,3.6,6.0,False,Automatic,8.0,4.460747541844197
Chevrolet,Suburban 1500 LTZ,2011,194000,E85 Flex Fuel,Black,Black,None reported,Yes,9950,320.0,5.3,8.0,False,Automatic,6.0,3.9978230807457256
Toyota,Tundra SR5,2021,33455,Gasoline,Green,Black,None reported,Yes,44750,381.0,5.7,8.0,False,Automatic,6.0,4.650793039651931
BMW,X1 sDrive28i,2022,43000,Gasoline,Gray,Black,None reported,Yes,35750,228.0,2.0,4.0,False,Automatic,8.0,4.5532760461371
Mercedes-Benz,GL-Class GL 550 4MATIC,2016,46102,Gasoline,Black,Beige,None reported,Yes,35300,429.0,4.7,8.0,False,Automatic,7.0,4.547774705387822
Cadillac,XTS Luxury,2019,59000,Gasoline,Black,Black,None reported,Yes,21000,304.0,3.6,6.0,False,Automatic,6.0,4.3222192947339195
Jaguar,XJ8 Base,2004,134000,Gasoline,Black,Beige,At least 1 accident or damage reported,Yes,9500,294.0,4.2,8.0,False,Automatic,6.0,3.9777236052888476
Chevrolet,Camaro ZL1,2020,3715,Gasoline,Black,Black,None reported,Yes,150000,650.0,6.2,8.0,False,Automatic,,5.176091259055681
Mercedes-Benz,Sprinter 2500,2012,100245,Diesel,White,–,At least 1 accident or damage reported,Yes,24000,188.0,3.0,6.0,False,Automatic,,4.380211241711606
Mercedes-Benz,C-Class C 300 4MATIC,2022,8583,Gasoline,Cirrus Silver Metallic,AMG Black,None reported,,42999,,2.0,4.0,True,Automatic,9.0,4.633458355590472
Dodge,Dakota SLT,2003,141800,Gasoline,Red,Gray,At least 1 accident or damage reported,Yes,5700,230.0,4.7,8.0,False,Automatic,,3.7558748556724915
Audi,A5 2.0T Premium Plus,2012,77000,Gasoline,White,Black,None reported,Yes,13800,211.0,2.0,4.0,False,Automatic,8.0,4.139879086401237
Audi,A5 2.0T Premium,2018,67035,Gasoline,Pink,Brown,At least 1 accident or damage reported,Yes,31500,252.0,2.0,4.0,False,,,4.498310553789601
Audi,S5 3.0 Premium Plus,2012,61450,Gasoline,White,Gray,None reported,Yes,19500,333.0,3.0,6.0,False,Automatic,7.0,4.290034611362518
Porsche,Panamera GTS,2015,39500,Gasoline,Black,Black,None reported,Yes,52590,440.0,4.8,8.0,False,,,4.7209031708134575
Mercedes-Benz,AMG GT C,2020,6600,Gasoline,Black,Beige,None reported,Yes,128900,550.0,4.0,8.0,False,,,5.110252917353403
Chevrolet,Camaro 2SS,2023,2300,Gasoline,Red,Black,None reported,Yes,51500,455.0,6.2,8.0,False,Manual,6.0,4.711807229041191
Audi,Q7 Premium Plus,2023,10601,Hybrid,Mythos Black,Black,None reported,,61998,,3.0,,False,Automatic,,4.792377679772873
Maserati,GranTurismo MC,2018,18000,Gasoline,Red,Black,None reported,Yes,67000,454.0,4.7,8.0,False,,,4.826074802700826
GMC,Sierra 2500 AT4,2022,31681,Gasoline,Cayenne Red Tintcoat,Jet Black,At least 1 accident or damage reported,,67963,,6.6,8.0,False,Automatic,,4.832272541101799
Cadillac,XT6 Sport AWD,2020,24114,Gasoline,Garnet Red Metallic,Jet Black,At least 1 accident or damage reported,,49427,,3.6,6.0,False,Automatic,9.0,4.693964251509036
Jeep,Grand Cherokee L Laredo,2022,22109,Gasoline,Bright White Clearcoat,Global Black,,,43389,,3.6,6.0,False,Automatic,,4.637379640922332
Chevrolet,Avalanche 1500 LT,2012,148000,E85 Flex Fuel,Black,Black,None reported,Yes,18000,320.0,5.3,8.0,False,Automatic,,4.2552725051033065
BMW,M5 Base,2018,41000,Gasoline,White,White,None reported,Yes,60200,600.0,4.4,8.0,False,,,4.779596491257824
Nissan,Titan SE,2009,127600,E85 Flex Fuel,Brown,Gray,None reported,Yes,19500,317.0,5.6,8.0,False,Automatic,,4.290034611362518
Dodge,Ram 1500 SRT-10 Quad Cab,2005,138450,Gasoline,Red,Black,At least 1 accident or damage reported,Yes,19000,500.0,8.3,10.0,False,Automatic,4.0,4.278753600952829
GMC,Sierra 1500 SLT,2013,230000,E85 Flex Fuel,White,Black,None reported,Yes,15500,315.0,5.3,8.0,False,Automatic,,4.190331698170292
Lexus,RX 350 F Sport,2017,53649,Gasoline,Black,Red,None reported,Yes,33000,295.0,3.5,6.0,False,Automatic,,4.518513939877887
Mercedes-Benz,GL-Class GL 450 4MATIC,2012,174000,Gasoline,Black,Black,At least 1 accident or damage reported,Yes,11999,335.0,4.6,8.0,False,Automatic,7.0,4.0791450533327485
INFINITI,QX80 Luxe,2022,49860,Gasoline,Black Obsidian,Graphite,At least 1 accident or damage reported,Yes,47645,,5.6,8.0,False,Automatic,,4.678017331283984
Mercedes-Benz,AMG C 63 S,2021,13650,Gasoline,Blue,Black,None reported,Yes,75000,503.0,4.0,8.0,False,Automatic,9.0,4.8750612633917
BMW,528 i xDrive,2016,134000,Gasoline,Brown,Brown,At least 1 accident or damage reported,Yes,13500,240.0,2.0,4.0,False,Automatic,,4.1303337684950066
Porsche,911 Carrera,2014,78000,Gasoline,Brown,Brown,None reported,Yes,68000,350.0,3.4,6.0,False,,,4.832508912706237
Porsche,Boxster S,2005,65750,Gasoline,Blue,Gray,None reported,Yes,21750,280.0,3.2,6.0,False,Automatic,,4.337459261290656
BMW,X6 M Base,2021,18000,Gasoline,Black,Black,None reported,Yes,94000,600.0,4.4,8.0,False,Automatic,8.0,4.973127853599698
Ford,Mustang Premium,2007,121630,Gasoline,White,Black,None reported,Yes,9450,210.0,4.0,6.0,False,Automatic,,3.975431808509263
Rivian,R1S Launch Edition,2023,4500,,Silver,Gray,None reported,Yes,89999,835.0,,,False,Automatic,1.0,4.954237683918273
Volvo,XC90 Recharge Plug-In Hybrid T8 Inscription 7 Passenger,2022,9408,Hybrid,Black,Gray,None reported,,61999,,2.0,4.0,False,Automatic,8.0,4.792384684692055
BMW,528 i xDrive,2016,120000,Gasoline,White,White,None reported,Yes,16000,240.0,2.0,4.0,False,Automatic,,4.204119982655925
Cadillac,Escalade ESV Platinum,2016,168600,Gasoline,White,Beige,None reported,Yes,29500,420.0,6.2,8.0,False,Automatic,8.0,4.469822015978163
Chevrolet,Corvette Base,2004,43705,Gasoline,Gray,Black,None reported,Yes,25900,350.0,5.7,8.0,False,Manual,6.0,4.413299764081252
Audi,A5 2.0T Premium,2013,111000,Gasoline,Blue,Beige,None reported,Yes,11500,211.0,2.0,4.0,False,,,4.060697840353612
Audi,TT 2.0T Premium,2012,64549,Gasoline,Silver,Black,None reported,Yes,17000,211.0,2.0,4.0,False,,,4.230448921378274
Buick,LaCrosse CX,2007,53000,Gasoline,Red,Gray,None reported,Yes,6500,200.0,3.8,6.0,False,Automatic,4.0,3.8129133566428557
Chevrolet,Camaro 2SS,2017,13465,Gasoline,White,Black,None reported,Yes,44900,455.0,6.2,8.0,False,Automatic,8.0,4.652246341003323
Tesla,Model Y Long Range,2023,5844,,White,Black,None reported,Yes,52000,425.0,,,False,Automatic,,4.7160033436347994
BMW,M3 Base,2015,74000,Gasoline,Gray,Black,None reported,Yes,40000,425.0,3.0,6.0,False,Manual,,4.6020599913279625
Kia,Optima LX,2011,100331,Gasoline,Red,–,At least 1 accident or damage reported,Yes,6900,200.0,2.4,4.0,False,Automatic,,3.838849090737255
Toyota,Supra 3.0 Premium,2022,24850,Gasoline,Black,Black,None reported,Yes,53568,382.0,3.0,6.0,False,Automatic,,4.7289054319771475
Lincoln,Nautilus Reserve,2021,17467,Gasoline,Pristine White,Slate,None reported,,43860,,2.0,4.0,True,Automatic,8.0,4.642068627341504
Nissan,Pathfinder SL,2015,115000,Gasoline,Gray,Black,None reported,Yes,11995,260.0,3.5,6.0,False,Automatic,,4.0790002523038495
BMW,X5 xDrive50i,2015,72000,Gasoline,Black,Brown,At least 1 accident or damage reported,Yes,26500,445.0,4.4,8.0,False,,,4.423245873936808
Mazda,MazdaSpeed3 Grand Touring,2008,162000,Gasoline,Black,Black,At least 1 accident or damage reported,Yes,6500,263.0,2.3,4.0,False,Manual,6.0,3.8129133566428557
GMC,Yukon XL SLT,2017,47589,Gasoline,Black,Black,None reported,Yes,45500,355.0,5.3,8.0,False,Automatic,,4.658011396657113
Toyota,bZ4X Limited,2023,6548,,Wind Chill Pearl,Black,None reported,,41999,,,,False,Automatic,,4.623238949929992
